,V_CODE2011,water,nightlights,totalArea,urban,20urban
,244908,0,0,3083607.105,0,0
,244848,11351.08191,0,5750525.343,0,0
,244747,20274.90466,0,5154839.32,0,0
,244914,0,0,2093657.618,0,0
,245003,4867.014404,0,3593345.075,0,0
,244913,2433.176819,0,3376946.902,0,0
,244916,128192.3947,0,5156247.944,0,0
,244987,103863.8264,0,4647341.728,0,0
,245005,185777.3964,0,7183847.544,0,0
,245002,459959.9614,0,7793922.608,0,0
,244994,72990.25238,0,6035740.002,0,0
,244995,60007.22986,0,5174584.341,0,0
,244663,1443.483829,0,3913558.464,0,0
,245011,0,0,4844365.643,0,0
,244605,42735.77315,0,5130662.462,0,0
,244612,106349.3822,0,9212295.217,0,0
,245162,30337.59573,0,1.05E+07,0,0
,245173,2435.566223,0,1823806.668,0,0
,245172,8117.83667,0,3823093.193,0,0
,245169,0,0,784985.4043,0,0
,245170,0,0,1237186.422,0,0
,245163,1762.887113,0,1536801.222,0,0
,244532,0,0,1109141.953,0,0
,244522,1621.612,0,3124840.173,0,0
,244520,3812.392175,0,4897120.752,0,0
,244551,0,0,1866671.553,0,0
,244536,0,0,4451291.404,0,0
,244537,0,0,1168705.801,0,0
,244542,8111.422546,0,2242624.081,0,0
,244538,0,0,916595.7531,0,0
,244541,0,0,1542183.083,0,0
,244546,0,0,1858391.257,0,0
,244595,0,0,2164675.324,0,0
,244611,0,0,1404180.446,0,0
,244609,0,0,1173373.354,0,0
,244608,3495.875444,0,3079744.281,0,0
,244600,810.9578247,0,2426031.592,0,0
,244598,30009.1532,0,2239864.185,0,0
,244553,0,0,1157661.488,0,0
,244507,0,0,862444.6799,0,0
,244505,27561.00507,0,2460732.976,0,0
,244422,3242.108093,0,1416986.477,0,0
,244431,54433.75727,0,2838584.798,0,0
,244510,12159.67352,0,1881980.817,0,0
,244521,4053.858765,0,1990869.568,0,0
,244433,403.5736639,0,764780.5622,0,0
,244457,31974.02311,0,2595453.288,0,0
,244437,0,0,1482886.302,0,0
,244432,0,0,1113958.642,0,0
,244379,4051.45636,0,1800252.787,0,0
,244426,0,0,1907619.795,0,0
