system:index,m_bu,m_nl,s_bu,s_nl,v_code_2011,.geo
6703,0.0036289810937698255,0.004053766313993751,10.654901960784313,11.902096354727652,229858,
7108,0.0,0.0,0.0,0.0,229854,
6937,0.0014105606488277276,8.43706710136268E-4,11.0,6.579492926597595,230211,
6986,1.3911193589873408E-4,7.690952738517617E-5,0.5764705882352941,0.3187079541823443,229827,
7213,0.0,0.0,0.0,0.0,229800,
6792,0.0,0.0,0.0,0.0,230191,
6788,8.618897693684376E-4,3.519373318564953E-4,2.0,0.8166643679141998,230192,
6999,0.0,0.0,0.0,0.0,230302,
6895,0.0,0.0,0.0,0.0,230275,
7082,8.22881926124565E-4,4.2719242328596694E-4,4.0,2.07656729221344,230289,
6770,4.1078280704806623E-4,3.2083768646700073E-4,1.0,0.7810397148132324,230339,
6716,0.001074877513140905,8.306687681879531E-4,3.0,2.318409562110901,230507,
6555,2.363855810357582E-4,1.129980528297159E-4,1.0,0.47802430391311646,230590,
6226,0.0017030360993650978,9.03529906840942E-4,15.760784313725491,8.361737010759466,230597,
6378,0.0017867828519296555,7.838268051545091E-4,5.0,2.1934025287628174,230541,
6036,0.0036398463295966694,0.0026366468956970693,13.219607843137254,9.576074049753302,230609,
5907,5.017329462447258E-4,2.972496468561843E-4,4.0,2.3697837591171265,230656,
7181,0.006395326805863647,0.003037642059772955,25.811764705882354,12.260030564139871,230662,
16282,0.0010411718831873204,4.5969197865704063E-4,6.0,2.6490840911865234,231305,
16347,0.0017569310739480421,0.001269999438825428,9.0,6.505659282207489,231292,
5914,0.00269372790487565,0.002063490605239675,13.294117647058824,10.183763111338896,230629,
5912,5.708380125882843E-4,2.6826356633240467E-4,3.0,1.4098407626152039,230613,
16351,0.0013761582182140763,7.444412901693924E-4,9.313725490196077,5.0383173449366705,231295,
6168,0.002633816830950275,0.001628299294509474,12.0,7.418735921382904,230123,
6613,1.2015266456203169E-4,7.733562459641458E-5,1.0,0.6436446905136108,230153,
6434,4.265897578308497E-4,3.025715385693068E-4,1.0,0.7092798948287964,230167,
6618,0.0,0.0,0.0,0.0,230012,
6341,0.001364745992317639,5.992119016625093E-4,4.250980392156863,1.866455779356115,229963,
6243,5.796982840930789E-4,2.8291189074142306E-4,2.0,0.976065993309021,230003,
6126,0.0,0.0,0.0,0.0,230075,
6136,0.001226103601426897,6.988279674044369E-4,10.0,5.699583351612091,230077,
6373,0.0014425143874310796,0.0010515349976464247,6.0,4.373758792877197,229953,
6783,0.0018154372292271694,6.796653020287632E-4,13.498039215686275,5.053410138686498,229746,
6715,7.893637109381045E-4,4.1722127038410455E-4,2.0,1.0571078062057495,229937,
6593,0.004627231546336649,0.002220687736888619,11.0,5.27908855676651,229984,
6711,0.002236077131507641,8.208188270081835E-4,5.0,1.835399180650711,229933,
6894,2.745843185680193E-4,1.4700240419034013E-4,0.6862745098039216,0.36740627943300735,229774,
6858,0.002923543856284628,0.0013413995414362123,11.0,5.04709205031395,229769,
6824,0.005283299411341728,0.0034837727155085808,17.0,11.209687650203705,229757,
7123,0.0018827028651889832,8.563549988542189E-4,14.0,6.367956519126892,229850,
10621,0.04149762767118425,0.0331823477967124,522.9529411764706,418.1638168073168,215999,
10566,0.11832720041488722,0.03370513722017155,918.9137254901959,261.74973381056503,216227,
10467,0.09554143040407069,0.025546092613266545,983.082352941176,262.8588741919574,216226,
10573,0.08985018413535058,0.01937162423523863,358.3137254901961,77.25213827128505,216204,
10444,0.058338090014905246,0.015128307791119937,255.7098039215686,66.31099197700912,216090,
10513,0.08060755274783668,0.01300369208889894,528.8509803921568,85.31477604146096,216201,
10182,0.06616350710586093,0.01999371256507303,586.7647058823528,177.3123189188102,216091,
